Name,Category,Address,Google Review,Description,Website
Dukes Coffee Roasters,1.커피,"247 Flinders Ln, Melbourne VIC 3000",4.6,멜번커피의 정석. 유행을 타지않는 클래식의 정점,https://www.dukescoffee.com.au/
Brother Baba Budan,1.커피,"359 Little Bourke St, Melbourne VIC 3000",4.6,천장에 매달린 의자 인테리어와 수준 높은 에스프레소,https://www.sevenseeds.com.au/
Patricia Coffee Brewers,1.커피,"493-495 Little Bourke St, Melbourne VIC 3000",4.8,천정의 의자가 말해주는 커피 자신감,https://www.patriciacoffee.com.au/
St Ali Coffee Roasters,1.커피,"12-18 Yarra Pl, South Melbourne VIC 3205",4.3,South멜번의 아이콘 실험적이고 강렬한 로스터리 카페,https://www.stali.com.au/
Market Lane Coffee,1.커피,"Therry St, Melbourne VIC 3000",4.5,퀸 빅토리아 마켓내 깔끔하고 화사한 필터 커피 맛집,https://marketlane.com.au/
Pellegrini's Espresso Bar,1.커피,"66 Bourke St,  Melbourne VIC 3000",4.4,멜버른 커피문화의 살아있는 역사. 바에서 즐기는 커피와 이태리음식,
Project Zero,1.커피,"160 Victoria St, Carlton VIC 3053",4.7,미니멀한 인테리어와 정교한 브루잉 커피가 일품인 곳,https://www.projectzero.com.au/
Brick Lane Melbourne,1.커피,"33 Guildford Ln, Melbourne VIC 3000",4.4,아름다운 골목 안 위치한 멜번 감성 가득한 브런치 카페,https://www.bricklanemelbourne.com.au/
Higher Ground,1.커피,"630 Little Collins St, Melbourne VIC 3000",4.2,높은 층고와 화려한 인테리어로 압도하는 멜번의 랜드마크,https://www.highergroundmelbourne.com.au/
The Hotel Windsor,2.하이티,"111 Spring St, Melbourne VIC 3000",4.4,1883년부터 시작된 멜번에서 가장 역사 깊은 하이티,https://www.thehotelwindsor.com.au/
The Tea Rooms 1892,2.하이티,"Shop 1-2, Block Arcade, 282 Collins St, Melbourne",4.2,블록 아케이드의 고풍스러운 분위기 속 애프터눈 티,https://thetearooms1892.com.au/
Koko Black,3.초콜릿,"Shop 4, Royal Arcade, 335 Bourke St, Melbourne",4.5,고급스러운 수제 초콜릿과 진한 핫초콜릿이 유명한 곳,https://www.kokoblack.com/
Macha Kobo,4. Matcha,"110/600 Little Collins St, Melbourne VIC 3000",4,일본식 말차의 정석,
,,,,,
보따리 (Bottari),5.한국,"600 Elizabeth St, Melbourne VIC 3000",4.7,감잎차 쑥차 등 스페샬티와 커피로 향수를 자극하는 맛,
다리 (Dari Korean Cafe),5.한국,"27-29 Hardware Ln, Melbourne VIC 3000",4.5,아이돌 샌드위치 및 한국식 토스트가 맛있는 한국골목 맛집,
온도 (Ondo),5.한국,"115 Little Lonsdale St, Melbourne VIC 3000",4.8,정갈한 한식 1인 정식과 브런치가 훌륭한 곳,https://www.instagram.com/ondo_melbourne/
리틀 로그 (Little Rogue),5.한국,"12 Drewery Ln, Melbourne VIC 3000",4.6,말차 라떼 및 수준 높은 커피로 소문난 숨은 강자,https://www.instagram.com/littleroguemelbourne/
Trbl(Trouble) Coffee,5.한국,168 Lonsdale St Melbourne VIC 3000,4.8,뒷골목 야외탁자 소금빵 유명,